INSTNM,CITY,STABBR,ADM_RATE,SATVR25,SATVR75,SATMT25,SATMT75,SATWR25,SATWR75,SAT_AVG,UGDS,COSTT4_A
University of Alaska Southeast,Juneau,AK,0.6057,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1156,18063
Alaska Pacific University,Anchorage,AK,0.8924,NULL,NULL,NULL,NULL,390,520,NULL,318,34315
Alaska Vocational Technical Center,Seward,AK,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,631,NULL
Charter College,Vancouver,WA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2474,35954
Alaska Career College,Anchorage,AK,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,361,NULL
Empire Beauty School-Tucson,Tucson,AZ,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,106,NULL
Carrington College-Phoenix North,Phoenix,AZ,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1644,NULL
CollegeAmerica-Flagstaff,Flagstaff,AZ,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,36,31712
Arizona Academy of Beauty-East,Tucson,AZ,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,40,NULL
Platt College-Arizona Automotive Institute Arizona,Glendale,AZ,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,490,NULL
Brookline College-Phoenix,Phoenix,AZ,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1437,NULL
Arizona State University Campus Immersion,Tempe,AZ,0.8647,560,670,560,690,NULL,NULL,1230,44038,26296
Arizona Western College,Yuma,AZ,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6856,15075
University of Arizona,Tucson,AZ,0.8459,560,670,550,690,NULL,NULL,1228,33715,27417
Southwest University of Visual Arts-Tucson,Tucson,AZ,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,92,35177
Central Arizona College,Coolidge,AZ,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4777,11406
Charles of Italy Beauty College,Lake Havasu City,AZ,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,58,NULL
Cochise County Community College District,Sierra Vista,AZ,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3387,11814
Empire Beauty School-Flagstaff,Flagstaff,AZ,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,26,NULL
Empire Beauty School-Chandler,Chandler,AZ,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,59,NULL
Avalon School of Cosmetology-Mesa,Mesa,AZ,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,284,NULL
Eastern Arizona College,Thatcher,AZ,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4642,13692
Embry-Riddle Aeronautical University-Prescott,Prescott,AZ,0.657,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2885,53046
The School of Architecture,Paradise Valley,AZ,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Glendale Community College,Glendale,AZ,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,14134,13618
Grand Canyon University,Phoenix,AZ,0.7694,NULL,NULL,NULL,NULL,NULL,NULL,NULL,57629,31213
GateWay Community College,Phoenix,AZ,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4162,15040
Mesa Community College,Mesa,AZ,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,16010,14558
Mohave Community College,Kingman,AZ,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2888,13418
Universal Technical Institute of Arizona Inc-Motorcycle Mechanics Institute Division,Phoenix,AZ,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,840,NULL
Dine College,Tsaile,AZ,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1377,13887
Northern Arizona University,Flagstaff,AZ,0.8489,NULL,NULL,NULL,NULL,NULL,NULL,NULL,26135,27129
Northland Pioneer College,Holbrook,AZ,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1288,15213
Ottawa University-Phoenix,Phoenix,AZ,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,383,NULL
Phoenix College,Phoenix,AZ,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8866,13875
Pima Community College,Tucson,AZ,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,17141,8574
Pima Medical Institute-Tucson,Tucson,AZ,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1931,NULL
Pima Medical Institute-Albuquerque,Albuquerque,NM,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,708,NULL
Prescott College,Prescott,AZ,0.9741,NULL,NULL,NULL,NULL,430,580,NULL,465,43039
Refrigeration School Inc,Phoenix,AZ,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,903,NULL
Rio Salado College,Tempe,AZ,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5829,13490
Roberto-Venn School of Luthiery,Phoenix,AZ,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,19,NULL
Scottsdale Community College,Scottsdale,AZ,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5688,14600
South Mountain Community College,Phoenix,AZ,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3118,13429
Arizona Christian University,Glendale,AZ,0.6793,450,550,440,530,NULL,NULL,982,803,39360
Universal Technical Institute of Arizona Inc,Avondale,AZ,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1873,NULL
Empire Beauty School-NW Phoenix,Phoenix,AZ,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,78,NULL
Yavapai College,Prescott,AZ,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4390,12115
University of Arkansas at Little Rock,Little Rock,AR,0.6582,NULL,NULL,NULL,NULL,440,510,1120,5900,21590
University of Arkansas for Medical Sciences,Little Rock,AR,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,649,NULL
Arkansas Baptist College,Little Rock,AR,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,531,21955
Arkansas Beauty School-Little Rock,Little Rock,AR,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8,NULL
Arkansas Beauty College,Russellville,AR,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,18,NULL
Lyon College,Batesville,AR,0.444,520,620,520,580,460,560,1165,650,40422
Arkansas College of Barbering and Hair Design,North Little Rock,AR,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,82,NULL
Arthur's Beauty College,Fort Smith,AR,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,32,NULL
University of Arkansas,Fayetteville,AR,0.7709,570,650,550,650,NULL,NULL,1253,22766,23390
University of Arkansas at Pine Bluff,Pine Bluff,AR,0.4394,440,530,450,520,350,485,978,2333,19108
Arkansas State University-Beebe,Beebe,AR,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2367,14111
Arkansas State University,Jonesboro,AR,0.7991,510,610,503,610,420,480,1188,8159,21756
Arkansas Tech University,Russellville,AR,0.9474,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7930,18358
University of Arkansas at Monticello,Monticello,AR,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2115,17957
Arthur's Beauty College,Jacksonville,AR,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,32,NULL
Baptist Health College Little Rock,Little Rock,AR,1,NULL,NULL,NULL,NULL,NULL,NULL,1085,616,25235
Black River Technical College,Pocahontas,AR,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1155,12381
University of Central Arkansas,Conway,AR,0.9042,490,580,470,580,440,550,1187,8557,22041
Central Baptist College,Conway,AR,0.4,418,520,440,543,405,450,1027,600,26290
Cossatot Community College of the University of Arkansas,De Queen,AR,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,979,10928
Crowley's Ridge College,Paragould,AR,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,162,21793
East Arkansas Community College,Forrest City,AR,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,790,12313
Eastern College of Health Vocations-Little Rock,Little Rock,AR,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,144,NULL
Paul Mitchell the School-Little Rock,North Little Rock,AR,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,359,NULL
National Park College,Hot Springs,AR,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1967,14391
University of Arkansas Community College-Batesville,Batesville,AR,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,952,12668
Harding University,Searcy,AR,0.6134,540,640,520,630,NULL,NULL,1204,3749,30490
