INSTNM,CITY,STABBR,ADM_RATE,SATVR25,SATVR75,SATMT25,SATMT75,SATWR25,SATWR75,SAT_AVG,UGDS,COSTT4_A
Talmudic College of Florida,Miami Beach,FL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,31,26650
Altierus Career College-Tampa,Tampa,FL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,365,27151
The University of Tampa,Tampa,FL,0.4475,550,630,550,620,480,570,1194,8685,44706
Big Bend Technical College,Perry,FL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,110,NULL
Tom P Haney Technical Center,Panama City,FL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,405,NULL
Trinity Baptist College,Jacksonville,FL,0.6855,440,535,445,530,320,460,994,309,22274
Trinity College of Florida,Trinity,FL,0.822,430,500,410,510,370,470,939,211,25276
Valencia College,Orlando,FL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,39142,10823
Warner University,Lake Wales,FL,0.4107,NULL,NULL,NULL,NULL,NULL,NULL,NULL,865,33230
Florida Panhandle Technical College,Chipley,FL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,344,NULL
Webber International University,Babson Park,FL,0.4225,460,530,440,520,NULL,NULL,977,664,41122
Rasmussen University-Florida,Ocala,FL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8768,23389
The University of West Florida,Pensacola,FL,0.31,550,640,530,620,450,540,1198,9199,16649
Orange Technical College-Westside Campus,Winter Garden,FL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,392,NULL
William T McFatter Technical College,Davie,FL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,788,NULL
Orange Technical College-Winter Park Campus,Winter Park,FL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,338,NULL
Withlacoochee Technical College,Inverness,FL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,266,NULL
Abraham Baldwin Agricultural College,Tifton,GA,0.7342,470,580,460,540,NULL,NULL,1029,3480,12745
Agnes Scott College,Decatur,GA,0.6482,NULL,NULL,NULL,NULL,NULL,NULL,NULL,974,54064
Interactive College of Technology-Chamblee,Chamblee,GA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,568,19316
Interactive College of Technology-Morrow,Morrow,GA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,101,19041
Albany Technical College,Albany,GA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2537,8260
Albany State University,Albany,GA,0.6568,380,460,360,430,NULL,NULL,849,5415,18820
Andrew College,Cuthbert,GA,0.414,420,510,390,490,NULL,NULL,913,289,32878
The Art Institute of Atlanta,Atlanta,GA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,911,30695
Georgia Career Institute,Conyers,GA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,502,NULL
Atlanta Technical College,Atlanta,GA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3514,9025
Point University,West Point,GA,0.2889,450,560,430,550,NULL,NULL,986,1074,29952
Atlanta Metropolitan State College,Atlanta,GA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1632,10716
Atlanta's John Marshall Law School,Atlanta,GA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Atlanta School of Massage,Atlanta,GA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,365,NULL
Clark Atlanta University,Atlanta,GA,0.5482,480,550,460,530,NULL,NULL,1006,3311,38154
Augusta Technical College,Augusta,GA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3663,17442
Berry College,Mount Berry,GA,0.7059,560,670,530,650,510,610,1245,1918,51464
Beulah Heights University,Atlanta,GA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,237,15092
Brenau University,Gainesville,GA,0.5752,470,580,450,560,450,520,1038,1669,42587
Brewton-Parker College,Mount Vernon,GA,0.9624,450,530,430,520,NULL,NULL,970,491,31425
Brown College of Court Reporting,Atlanta,GA,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,139,37386
College of Coastal Georgia,Brunswick,GA,0.8717,470,570,440,530,NULL,NULL,1011,3028,18173
West Georgia Technical College,Waco,GA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5187,9779
Clayton  State University,Morrow,GA,0.5114,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5453,17676
Columbia Theological Seminary,Decatur,GA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Columbus Technical College,Columbus,GA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2839,13044
Columbus State University,Columbus,GA,0.7942,440,570,420,530,410,530,1009,6188,19213
Georgia Northwestern Technical College,Rome,GA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4067,10489
Covenant College,Lookout Mountain,GA,0.9822,570,680,530,650,510,650,1233,904,47200
Dalton State College,Dalton,GA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4553,12512
Pro Way Hair School,Stone Mountain,GA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,151,NULL
South University-Savannah,Savannah,GA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,293,27322
East Georgia State College,Swainsboro,GA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2415,14319
Emmanuel College,Franklin Springs,GA,0.4615,460,570,460,550,NULL,NULL,1018,826,30649
Emory University,Atlanta,GA,0.156,670,740,690,790,640,730,1453,7023,69502
Georgia Highlands College,Rome,GA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5740,11409
Fort Valley State University,Fort Valley,GA,0.5181,440,500,410,460,NULL,NULL,919,2242,21082
Grady Health System Professional Schools,Atlanta,GA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,74,NULL
Georgia Institute of Technology-Main Campus,Atlanta,GA,0.2058,630,730,670,780,640,730,1418,15174,28454
Georgia Southwestern State University,Americus,GA,0.5833,480,580,460,540,NULL,NULL,1027,2139,18450
Georgia College & State University,Milledgeville,GA,0.7959,570,640,540,620,510,600,1206,5764,28467
Georgia Southern University,Statesboro,GA,0.5447,540,610,510,590,480,570,1129,21665,22171
Georgia State University,Atlanta,GA,0.7615,540,630,520,620,470,570,1153,27256,23636
University of Georgia,Athens,GA,0.453,630,700,610,720,560,660,1347,29726,26530
Gordon State College,Barnesville,GA,0.8386,420,530,400,510,NULL,NULL,936,2970,15062
Southern Crescent Technical College,Griffin,GA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3927,14518
Gupton Jones College of Funeral Service,Decatur,GA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,237,20894
Gwinnett College-Lilburn,Lilburn,GA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,84,27472
Gwinnett Technical College,Lawrenceville,GA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7438,16998
Interdenominational Theological Center,Atlanta,GA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
LaGrange College,Lagrange,GA,0.4881,500,588,500,560,425,520,1079,865,44088
Lanier Technical College,Gainesville,GA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3311,9893
Life University,Marietta,GA,0.956,422,601,406,599,NULL,NULL,1029,874,38038
Chattahoochee Technical College,Marietta,GA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8257,8975
Herzing University-Atlanta,Atlanta,GA,0.8974,NULL,NULL,NULL,NULL,NULL,NULL,NULL,716,29515
Mercer University,Macon,GA,0.7422,590,670,580,670,530,625,1274,4806,51923
Morehouse College,Atlanta,GA,0.998,500,560,520,583,410,520,1064,2238,48406
Morehouse School of Medicine,Atlanta,GA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
North Georgia Technical College,Clarkesville,GA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2128,10997
Oglethorpe University,Atlanta,GA,0.6755,580,660,530,620,500,600,1206,1350,53219
Paine College,Augusta,GA,0.6494,410,483,388,460,320,430,876,442,26657
Piedmont University,Demorest,GA,0.5398,480,600,480,560,NULL,NULL,1069,1232,39881
Miami Ad School-Atlanta,Atlanta,GA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,56,NULL
Reinhardt University,Waleska,GA,0.9202,490,600,480,580,420,510,1095,1384,38567
Savannah Technical College,Savannah,GA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3468,12002
Savannah College of Art and Design,Savannah,GA,0.9591,540,640,510,600,460,590,1162,11992,56930
Savannah State University,Savannah,GA,0.332,460,530,440,500,NULL,NULL,965,3355,16833
Shorter University,Rome,GA,0.6032,460,570,470,560,410,530,1047,1202,34208
South Georgia Technical College,Americus,GA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1657,9479
The Creative Circus,Atlanta,GA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,227,NULL
Spelman College,Atlanta,GA,0.4344,560,630,520,600,NULL,NULL,1167,2118,52826
Thomas University,Thomasville,GA,0.3803,NULL,NULL,NULL,NULL,NULL,NULL,NULL,875,27806
Toccoa Falls College,Toccoa Falls,GA,0.5978,470,600,450,550,NULL,NULL,1027,860,36771
Truett McConnell University,Cleveland,GA,0.9411,470,590,460,560,410,505,1052,792,32004
Wiregrass Georgia Technical College,Valdosta,GA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2359,8686
Valdosta State University,Valdosta,GA,0.5717,510,590,480,550,440,530,1072,8348,20972
Wesleyan College,Macon,GA,0.4383,470,580,470,540,450,580,1032,584,33844
University of West Georgia,Carrollton,GA,0.593,490,570,430,510,NULL,NULL,1020,9742,22875
Young Harris College,Young Harris,GA,0.6465,490,580,460,550,420,530,1049,908,42914
Chaminade University of Honolulu,Honolulu,HI,0.9467,490,580,490,570,NULL,NULL,1073,1558,36765
University of Hawaii at Hilo,Hilo,HI,0.5162,500,590,490,580,NULL,NULL,1064,2646,21400
University of Hawaii at Manoa,Honolulu,HI,0.5847,540,630,530,640,460,570,1170,12255,23636
Hawaii Institute of Hair Design,Honolulu,HI,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,58,NULL
Hawaii Pacific University,Honolulu,HI,0.7483,500,620,490,590,NULL,NULL,1100,2765,42786
Honolulu Community College,Honolulu,HI,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2618,13350
Kapiolani Community College,Honolulu,HI,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4553,11444
Kauai Community College,Lihue,HI,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,935,15847
Leeward Community College,Pearl City,HI,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4552,12650
University of Hawaii Maui College,Kahului,HI,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2266,15693
University of Hawaii-West Oahu,Kapolei,HI,0.8442,460,560,480,540,NULL,NULL,1007,2636,18199
Windward Community College,Kaneohe,HI,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1108,15087
Carrington College-Boise,Boise,ID,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,454,NULL
Boise Bible College,Boise,ID,0.9474,460,640,430,580,420,560,1053,94,27170
Boise State University,Boise,ID,0.7744,520,620,510,610,440,550,1136,16896,20745
College of Eastern Idaho,Idaho Falls,ID,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1199,14164
Idaho State University,Pocatello,ID,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7267,20022
University of Idaho,Moscow,ID,0.7776,510,630,500,610,440,560,1137,7227,21126
The College of Idaho,Caldwell,ID,0.486,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1072,43349
Lewis-Clark State College,Lewiston,ID,0.9976,440,560,430,550,NULL,NULL,999,2677,16389
Aveda Institute-Twin Falls,Twin Falls,ID,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,64,NULL
Mr Leon's School of Hair Design-Moscow,Moscow,ID,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11,NULL
North Idaho College,Coeur d'Alene,ID,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3310,11610
Northwest Nazarene University,Nampa,ID,0.8553,510,610,480,580,440,560,1114,1195,40315
Elevate Salon Institute-Chubbuck,Chubbuck,ID,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,46,NULL
Brigham Young University-Idaho,Rexburg,ID,0.9577,500,610,490,590,NULL,NULL,1111,38672,11968
College of Southern Idaho,Twin Falls,ID,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3455,11830
Adler University,Chicago,IL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
American Academy of Art,Chicago,IL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,205,40537
American Islamic College,Chicago,IL,NULL,NULL,NULL,NULL,NULL,340,380,NULL,6,NULL
School of the Art Institute of Chicago,Chicago,IL,0.5704,580,670,540,690,520,630,1238,2983,67058
Augustana College,Rock Island,IL,0.5662,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2532,54058
Aurora University,Aurora,IL,0.8673,485,560,480,570,423,520,1052,4003,34961
Tricoci University of Beauty Culture-Urbana,Urbana,IL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,109,NULL
Southwestern Illinois College,Belleville,IL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6614,11349
Bethany Theological Seminary,Richmond,IN,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Black Hawk College,Moline,IL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2816,11258
Blackburn College,Carlinville,IL,0.5714,460,570,450,540,NULL,NULL,1027,480,30921
Blessing Rieman College of Nursing and Health Sciences,Quincy,IL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,165,NULL
Blessing Hospital School of Radiologic Technology,Quincy,IL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,16,NULL
Bradley University,Peoria,IL,0.7021,540,630,530,640,NULL,NULL,1191,4625,47305
Paul Mitchell the School-Bradley,Bourbonnais,IL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,237,NULL
Cameo Beauty Academy,Oak Lawn,IL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,82,NULL
Cannella School of Hair Design-Villa Park,Villa Park,IL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,51,NULL
Cannella School of Hair Design-Chicago,Chicago,IL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,61,NULL
Cannella School of Hair Design-Chicago,Chicago,IL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,65,NULL
Empire Beauty School-Hanover Park,Hanover Park,IL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,40,NULL
Capri Beauty College,Oak Forest,IL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,55,NULL
Carl Sandburg College,Galesburg,IL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1328,9800
Catholic Theological Union at Chicago,Chicago,IL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Midwestern University-Downers Grove,Downers Grove,IL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
The Chicago School of Professional Psychology at Chicago,Chicago,IL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11,NULL
Chicago State University,Chicago,IL,0.6334,440,510,433,520,NULL,NULL,958,2045,20999
Chicago Theological Seminary,Chicago,IL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
University of Chicago,Chicago,IL,0.0617,730,770,770,800,700,780,1528,6801,78555
City Colleges of Chicago-Kennedy-King College,Chicago,IL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1511,11098
City Colleges of Chicago-Malcolm X College,Chicago,IL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5483,9404
City Colleges of Chicago-Olive-Harvey College,Chicago,IL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1254,10540
City Colleges of Chicago-Harry S Truman College,Chicago,IL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2591,10293
City Colleges of Chicago-Richard J Daley College,Chicago,IL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2877,8729
City Colleges of Chicago-Harold Washington College,Chicago,IL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5880,8830
City Colleges of Chicago-Wilbur Wright College,Chicago,IL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5455,8501
Columbia College Chicago,Chicago,IL,0.9022,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6596,43764
Concordia University-Chicago,River Forest,IL,0.7472,500,590,510,590,NULL,NULL,1113,1501,41255
Coyne College,Chicago,IL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,530,NULL
Danville Area Community College,Danville,IL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1583,10960
Tricoci University of Beauty Culture-Danville,Danville,IL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,40,NULL
DePaul University,Chicago,IL,0.6822,NULL,NULL,NULL,NULL,NULL,NULL,NULL,14009,55832
Cosmetology & Spa Academy,Crystal Lake,IL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,296,NULL
College of DuPage,Glen Ellyn,IL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,16082,12650
East-West University,Chicago,IL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,447,28350
Eastern Illinois University,Charleston,IL,0.525,470,570,470,560,NULL,NULL,1051,4577,23922
Elgin Community College,Elgin,IL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7813,8938
Elmhurst University,Elmhurst,IL,0.6778,490,610,500,600,460,590,1114,2807,47597
Eureka College,Eureka,IL,0.6184,470,580,450,580,530,610,1044,497,36062
First Institute of Travel Inc.,Crystal Lake,IL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,234,NULL
Fox College,Bedford Park,IL,0.6184,NULL,NULL,NULL,NULL,NULL,NULL,NULL,451,20199
Garrett-Evangelical Theological Seminary,Evanston,IL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Gem City College,Quincy,IL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,26,NULL
Governors State University,University Park,IL,0.4561,440,520,400,510,430,450,955,3172,21074
Graham Hospital School of Nursing,Canton,IL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,52,NULL
Greenville University,Greenville,IL,0.5612,470,590,480,590,410,520,1076,876,39861
G Skin & Beauty Institute,Schaumburg,IL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,503,NULL
Hair Professionals Career College,Sycamore,IL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,43,NULL
Hair Professionals School of Cosmetology,Oswego,IL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,130,NULL
Hebrew Theological College,Skokie,IL,1,NULL,NULL,NULL,NULL,460,570,NULL,107,26004
Highland Community College,Freeport,IL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1115,11513
Rosalind Franklin University of Medicine and Science,North Chicago,IL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
University of Illinois Chicago,Chicago,IL,0.727,510,620,520,640,480,590,1161,21311,25527
Benedictine University,Lisle,IL,0.4171,480,555,510,608,NULL,NULL,1098,2461,46873
Illinois College of Optometry,Chicago,IL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
University of Illinois Urbana-Champaign,Champaign,IL,0.5903,600,700,610,770,590,690,1342,33080,30102
Illinois Wesleyan University,Bloomington,IL,0.608,560,650,560,670,540,670,1245,1619,60826
Illinois Central College,East Peoria,IL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6077,14161
Illinois College,Jacksonville,IL,0.7804,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1044,43511
Olney Central College,Olney,IL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,663,13326
Illinois Institute of Technology,Chicago,IL,0.6023,570,670,620,730,NULL,NULL,1312,3032,63212
Illinois State University,Normal,IL,0.8194,510,610,510,610,NULL,NULL,1132,18199,29758
Illinois Valley Community College,Oglesby,IL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2178,11405
Institute for Clinical Social Work,Chicago,IL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
John A Logan College,Carterville,IL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2660,11756
The John Marshall Law School,Chicago,IL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
John Wood Community College,Quincy,IL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1572,12236
Joliet Junior College,Joliet,IL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10966,8606
Judson University,Elgin,IL,0.3853,430,550,450,550,NULL,NULL,1036,1026,40798
Kankakee Community College,Kankakee,IL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2168,11416
Kaskaskia College,Centralia,IL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1867,11200
Kishwaukee College,Malta,IL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2069,12109
Knox College,Galesburg,IL,0.6832,550,670,540,680,NULL,NULL,1255,1229,58289
Educators of Beauty College of Cosmetology-Peru,PERU,IL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,46,NULL
College of Lake County,Grayslake,IL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9908,8974
Lake Forest College,Lake Forest,IL,0.552,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1527,60505
Lake Forest Graduate School of Management,Lake Forest,IL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Lake Land College,Mattoon,IL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3050,10073
Lakeview College of Nursing,Danville,IL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,148,NULL
Lewis and Clark Community College,Godfrey,IL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3137,9254
Lewis University,Romeoville,IL,0.639,500,600,510,600,430,530,1131,4125,41938
Lincoln Christian University,Lincoln,IL,NULL,NULL,NULL,NULL,NULL,370,440,NULL,357,26311
Lincoln College,Lincoln,IL,0.6685,NULL,NULL,NULL,NULL,340,410,NULL,1034,34934
Lincoln Land Community College,Springfield,IL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4372,10589
Lincoln College of Technology-Melrose Park,Melrose Park,IL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,830,NULL
Loyola University Chicago,Chicago,IL,0.6722,570,660,560,660,520,630,1263,12104,59194
Lutheran School of Theology at Chicago,Chicago,IL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Trinity College of Nursing & Health Sciences,Rock Island,IL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,157,NULL
Steven Papageorge Hair Academy,Chicago,IL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,55,NULL
MacCormac College,Chicago,IL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,276,21850
MacMurray College,Jacksonville,IL,0.6236,470,550,470,540,NULL,NULL,1023,588,37332
McCormick Theological Seminary,Chicago,IL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
McHenry County College,Crystal Lake,IL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4521,11445
McKendree University,Lebanon,IL,0.6335,428,635,431,633,400,490,1106,1764,42941
Meadville Lombard Theological School,Chicago,IL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Methodist College,Peoria,IL,0.4394,500,530,470,500,NULL,NULL,1017,675,37283
Millikin University,Decatur,IL,0.7125,490,610,460,590,450,590,1112,1929,48766
Monmouth College,Monmouth,IL,0.6667,490,610,460,600,NULL,NULL,1099,900,49178
Moody Bible Institute,Chicago,IL,0.9441,530,620,460,580,NULL,NULL,1080,2225,26844
Moraine Valley Community College,Palos Hills,IL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9310,10056
Morrison Institute of Technology,Morrison,IL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,88,24959
Morton College,Cicero,IL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3410,9783
Mr John's School of Cosmetology Esthetics & Nails-Decatur,Decatur,IL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,37,NULL
National Louis University,Chicago,IL,0.9767,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3279,23294
National University of Health Sciences,Lombard,IL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,30,NULL
Cosmetology Concepts Niles,Niles,IL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,37,NULL
North Central College,Naperville,IL,0.5364,510,630,520,630,NULL,NULL,1161,2578,51483
North Park University,Chicago,IL,0.4764,480,590,490,590,450,570,1088,1906,38189
Northern Baptist Theological Seminary,Lisle,IL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Northern Illinois University,Dekalb,IL,0.4835,470,590,470,580,410,520,1070,12107,28722
Northwestern University,Evanston,IL,0.0905,700,760,740,790,680,770,1506,8530,74630
Northeastern Illinois University,Chicago,IL,0.5848,470,570,440,550,NULL,NULL,1011,5626,23811
Oakton Community College,Des Plaines,IL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7619,10946
Oehrlein School of Cosmetology,East Peoria,IL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,41,NULL
Olivet Nazarene University,Bourbonnais,IL,0.5776,490,600,470,580,NULL,NULL,1098,3079,47290
Parkland College,Champaign,IL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4889,12872
Prairie State College,Chicago Heights,IL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3047,14392
Principia College,Elsah,IL,0.9143,510,625,500,593,460,568,1145,402,NULL
Professional's Choice Hair Design Academy,Joliet,IL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,48,NULL
Quincy University,Quincy,IL,0.6176,470,590,480,600,NULL,NULL,1098,957,40447
Rend Lake College,Ina,IL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1431,11776
Richland Community College,Decatur,IL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1821,9634
Robert Morris University Illinois,Chicago,IL,0.6341,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1495,38814
Rock Valley College,Rockford,IL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5387,13061
Rockford University,Rockford,IL,0.5424,480,570,480,570,430,550,1069,943,41928
Roosevelt University,Chicago,IL,0.673,510,630,500,600,460,600,1143,2293,44929
Dominican University,River Forest,IL,0.6434,500,600,500,600,400,480,1106,2137,41882
Rush University,Chicago,IL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,110,NULL
Saint Francis Medical Center College of Nursing,Peoria,IL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,320,NULL
University of St Francis,Joliet,IL,0.4562,520,600,510,620,450,490,1140,1646,41946
